variable_name,variable_description,variable_category,variable_type,source,possible_other_sources,to_impute,to_impute_andrea,Note
FINREGISTRYID,Identifier,base,string,minimal phenotype,,0,0,
date_of_birth,Date of birth,base,date,minimal phenotype,,0,0,
sex,"Sex; 0 = male, 1 = female",base,binary,minimal phenotype,,0,(1),"There some people (spouses of index person that are not index person themself) with missing sex, maybe imputed those?"
divorced,"Whether the individual has divorced; 0=no, 1=yes",family and relatives,binary,DVV marriage history,,1,0,
married,"Whether the individual has married; 0=no, 1=yes",family and relatives,binary,DVV marriage history,,1,0,
children,Whether the individual has children.,family and relatives,integer,pedigree,,1,0,"Is this longitudinal? Or just the toal number of children? If longitudinal, one can just have an indicatory 0/1 for having had children at a certain age. "
zip_code,Zip code of place of residence,place of residence,categorical,DVV living extended,avoHilmo; social Hilmo,1,(1),impute only for missing zip codes
urbanization_class,Urbanisation Class (1 or 2) - based on data from 2013 for the postal code area,place of residence,binary,DVV living extended,,1,,impute only for missing zip codes
urban_rural_class_code,Urban/Rural Class Code - based on data from 2013 for the postal code area,place of residence,categorical,DVV living extended,,1,,impute only for missing zip codes
sparse_small_house_area,Sparse Small House Area - based on data from 2013 for the postal code area,place of residence,binary,DVV living extended,,1,,impute only for missing zip codes
apartment_building_area,Apartment building Area - based on data from 2013 for the postal code area,place of residence,binary,DVV living extended,,1,,impute only for missing zip codes
small_house_area,Small house Area - based on data from 2013 for the postal code area,place of residence,binary,DVV living extended,,1,,impute only for missing zip codes
